id,name,license_id,address_number,address_street_name,ssn,id_license,age,height,eye_color,hair_color,gender,plate_number,car_make,car_model,annual_income,transcript,fitness_membership_status,fitness_join_date,has_license,has_income,has_interview,is_fitness_member,age_group,income_group
10935,Lahoma Stribley,984442.0,183,Rodsall Circle,392680054,984442.0,80.0,67.0,brown,blonde,female,B5Q65U,Hyundai,Accent,74400.0,"jumping about like mad things all this time, sat down again very sadly
",,,1,1,1,0,60+,Высокий
10945,Mariann Tremaine,667117.0,2833,Rahlves St,132269282,667117.0,77.0,52.0,brown,blonde,female,G7JS51,Toyota,Venza,,,,,1,0,0,0,60+,Низкий
10946,Cayla Dittberner,585848.0,3385,Uralla Ave,840905613,585848.0,44.0,82.0,brown,black,female,11N357,Pontiac,Grand Am,,,,,1,0,0,0,40-50,Низкий
10952,Lesli Engelbach,221115.0,3876,W Cleven Way,715434894,221115.0,52.0,72.0,black,white,female,4CFYJQ,Ford,Freestar,88700.0,,,,1,1,0,0,50-60,Высокий
10968,Asley Regulski,193903.0,240,Kreck Way,419744952,193903.0,20.0,64.0,black,grey,female,8Q3614,Kia,Sorento,33600.0,,,,1,1,0,0,<20,Ниже среднего
10980,Myron Willington,301337.0,3212,W Brampton Way,597993407,301337.0,50.0,58.0,brown,white,male,UF5GT8,Acura,MDX,31000.0,"
",,,1,1,1,0,40-50,Ниже среднего
11005,Bradly Goodness,493031.0,1183,Mina St,238820780,493031.0,79.0,59.0,blue,black,male,72DBML,Subaru,Impreza,,,,,1,0,0,0,60+,Низкий
11012,Sherron Mckiernan,420324.0,1275,Deborah Lee St,495147886,420324.0,58.0,56.0,blue,red,female,64M144,GMC,Acadia,,,,,1,0,0,0,50-60,Низкий
11015,King Titmus,489888.0,1054,Running River Way,123107875,489888.0,38.0,51.0,amber,white,male,TD68QM,Audi,TT,26000.0,,,,1,1,0,0,30-40,Ниже среднего
11018,Jovita Crear,735149.0,1166,Kern Creek Blvd,961376550,735149.0,35.0,50.0,green,green,female,QLQ2D3,Toyota,MR2,39900.0,"
",,,1,1,1,0,30-40,Выше среднего
11038,Charity Bleicher,563787.0,2550,Thomas Jefferson Circle,626982484,563787.0,58.0,61.0,black,red,female,5ZLQN8,Land Rover,Range Rover,23200.0,,,,1,1,0,0,50-60,Ниже среднего
11050,Latoyia Syta,697261.0,3177,Mount Olive St,877580969,697261.0,86.0,59.0,black,red,female,QUOK36,Saab,9-2X,,,,,1,0,0,0,60+,Низкий
11059,Devin Caddigan,739503.0,3727,San Ardo Circle,809549257,739503.0,25.0,78.0,blue,brown,male,5R8427,Land Rover,Range Rover Sport,,"
",,,1,0,1,0,20-30,Низкий
11062,Rivka Chadwell,587839.0,1327,Tovito Blvd,204256047,587839.0,68.0,82.0,black,red,female,DK2KVP,Mitsubishi,Challenger,15700.0,"
",,,1,1,1,0,60+,Ниже среднего
11072,Margene Bodiroga,207422.0,1491,W Dakin Circle,822197116,207422.0,64.0,68.0,blue,grey,female,EXZH0G,Cadillac,DeVille,,,,,1,0,0,0,60+,Низкий
11084,Lesha Wanger,373204.0,3556,Sable Oaks Blvd,755931532,373204.0,66.0,57.0,black,red,female,3422PU,Acura,RL,39900.0,"could not stand, and she went round the court and got behind him, and
",,,1,1,1,0,60+,Выше среднего
11092,Andre Padilla,320049.0,3973,Regalia Ave,734463436,320049.0,79.0,53.0,black,black,male,3JKUTH,Ford,Taurus,,"She said the last word with such sudden violence that Alice quite
",,,1,0,1,0,60+,Низкий
11120,Shane Cichonski,626113.0,332,Hascombe Way,703857374,626113.0,18.0,76.0,blue,brown,male,6V5086,Audi,TT,12900.0,"down in a large arm-chair at one end of the table.
",,,1,1,1,0,<20,Ниже среднего
11132,Edward Lestrange,586294.0,1629,Walport Way,473814207,586294.0,39.0,61.0,green,red,male,X2TN01,Pontiac,G6,331500.0,"‘Now tell me, Pat, what’s that in the window?’
",,,1,1,1,0,30-40,Высокий
11140,Vernon Farrelly,560603.0,396,Torri Circle,733302152,560603.0,66.0,74.0,brown,blue,male,82S12D,Kia,Spectra,18300.0,"turned out, and, by the time they had settled down again, the cook had
",,,1,1,1,0,60+,Ниже среднего
11151,Shantell Rudge,748480.0,1569,Dragonwyck St,973457772,748480.0,26.0,52.0,brown,red,female,Y1F5A6,Ford,Escape,51500.0,"rule, ‘and vinegar that makes them sour--and camomile that makes
",,,1,1,1,0,20-30,Выше среднего
11153,Wilber Kapoi,141011.0,1245,Thistle Dr,220840124,141011.0,27.0,52.0,black,red,male,1304OS,Ferrari,599 GTB Fiorano,85500.0,,,,1,1,0,0,20-30,Высокий
11161,Emmett Labrec,556632.0,2494,Goesel Blvd,598689010,556632.0,81.0,65.0,brown,grey,male,8R0787,Jeep,Liberty,27600.0,"with such a puzzled expression that she could not help bursting out
",,,1,1,1,0,60+,Ниже среднего
11162,Dorthy Picardi,889044.0,864,Castlemere Ave,245451296,889044.0,50.0,54.0,amber,blue,female,0S0I7D,Land Rover,Range Rover,37800.0,"us all about it!’
",silver,20170712.0,1,1,1,1,40-50,Выше среднего
11165,Lianne Knodel,332627.0,3280,Shawbury Ave,893252243,332627.0,63.0,58.0,black,blue,female,7146LV,Suzuki,XL-7,66400.0,,,,1,1,0,0,60+,Высокий
11173,Ken Whitted,755830.0,3300,Climbhill Rd,604322569,755830.0,34.0,71.0,black,blonde,male,3P3FOR,BMW,M,48500.0,,,,1,1,0,0,30-40,Выше среднего
11175,Chang Loske,641581.0,3139,Comus Ave,741867931,641581.0,19.0,68.0,brown,white,female,4504PH,Chevrolet,Metro,,,,,1,0,0,0,<20,Низкий
11176,Lakeshia Che,622026.0,2934,Cottesmore Rd,965218751,622026.0,87.0,53.0,black,red,female,DPV1KD,Volkswagen,Touareg,26900.0,,,,1,1,0,0,60+,Ниже среднего
11177,Stephen Uttley,861250.0,2424,Perseus St,355304085,861250.0,80.0,78.0,amber,white,male,7YIX00,Maybach,57,,"
",,,1,0,1,0,60+,Низкий
11181,Hubert Yeddo,170574.0,2715,S Normal St,530896810,170574.0,22.0,50.0,brown,grey,male,5WNL4F,Mazda,Miata MX-5,75700.0,,,,1,1,0,0,20-30,Высокий
11182,Socorro Huss,563643.0,3907,N Munn Blvd,559829808,563643.0,55.0,53.0,amber,black,female,D3DMX1,Mercedes-Benz,G-Class,23600.0,,,,1,1,0,0,50-60,Ниже среднего
11191,Winford Westerlund,270433.0,1287,Waldman Ave,965474003,270433.0,50.0,76.0,green,green,male,2K3717,Hyundai,Veracruz,72300.0,,,,1,1,0,0,40-50,Высокий
11197,Kerstin Shomin,975101.0,3402,Pescot St,666303771,975101.0,70.0,73.0,amber,white,female,W2460W,Audi,S4,89600.0,,,,1,1,0,0,60+,Высокий
